Bedrijf;E-mail;Contact;Adres;Post;Gemeente;Telefoon;Standnr;Sector;groen;geel;rood;blauw
Borealis Kallo;karolien.vercauteren@borealisgroup.com;Karolien Vercauteren;Sint-Jansweg ˇ2;9130;Kallo;0472 46 62 03;42;"Borealis is a leading provider of innovative solutions in the fields of polyolefins, base chemicals and fertilizers. With its head office in Vienna, Austria, the company currently has around 6,600 employees and operates in over 120 countries. Borealis generated EUR 7.5 billion in sales revenue and a net profit of EUR 1,095 million in 2017. Mubadala, through its holding company, owns 64% of the company, with the remaining 36% belonging to Austria-based OMV, an integrated, international oil and gas company. Borealis provides services and products to customers around the world in collaboration with Borouge, a joint venture with the Abu Dhabi National Oil Company (ADNOC). 

Borealis has three production sites in Belgium, in Beringen, Kallo and Zwijndrecht and a service center in Mechelen with approximately 900 employees. 
?	In Beringen, Borealis has two polypropylene (PP) plants and a compounding plant with a total polyolefin production capacity of 385,000 tonnes per year. Approximately 380 employees work there. 
?	In Kallo, Borealis produces up to 300.000 tonnes of polypropylene. It also operates a dehydrogenation unit to convert propane to propylene at 480.000 tonnes per year. 
?	In Zwijndrecht, Borealis produces up to 65.000 tonnes of compounds for low-density polyethylene per year. 

The main areas of application of our products are wire and cable, advanced packaging, hygienic and electronic applications, as well as applications in the automotive sector.

Interested to know more about Borealis? Look at our website: www.borealisgroup.com";FALSE;FALSE;FALSE;FALSE
buro Nexus bvba;anton.vancauwenberghe@buronexus.be;Anton Van cauwenberghe;Uitbreidingstraatˇ10;2600;Berchem;0472 40 25 74;43;Buro Nexus is een projectsourcing organisatie actief in de Engineering- & Constructionwereld. Vanuit onze eigen organisatie zetten we projectwerknemers in bij opdrachtgevers in het kader van een specifieke opdracht of project. Het gaat met andere woorden over een specialist die via buro Nexus wordt ingezet voor de duur van een welomschreven project.Buro Nexus richt zich op technisch hoger opgeleide profielen, zoals Bachelors en Masters met een technische afstudeerrichting. Specifiek voor schoolverlaters hebben we een uitdagend ontwikkelingstraject waarbij persoonlijke groei centraal staat naast pittige uitdagingen in de technische wereld.;TRUE;FALSE;TRUE;TRUE
Capacity;Chantal.huybrechts@capacity.career;Chantal Huybrechts;Uitbreidingsstraat 66;2600;Berchem;0474 58 07 83;44;Werving, selectie en project consulting;TRUE;FALSE;FALSE;FALSE
Capgemini Belgium;sylvie.erb@capgemini.com;Sylvie Erb;Bessenveldstraatˇ19;1831;Diegem;0496 59 93 69;45;"About Capgemini
A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire breadth of clients? opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50-year heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. It is a multicultural company of 200,000 team members in over 40 countries. The Group reported 2017 global revenues of EUR 12.8 billion.
Visit us at www.capgemini.com

People matter, results count.";FALSE;TRUE;FALSE;TRUE
Care Talents;kim.louwagie@houseoftalents.be;Kim Louwagie;President Kennedyparkˇ8B;8500;Kortrijk;056 24 56 40;46;;FALSE;FALSE;FALSE;FALSE
Cegeka;yasmine.simons@cegeka.com;Yasmine Simons;Universiteitslaanˇ9;3500;Hasselt;016 39 32 36;47;"De betrouwbare partner zijn in digitale transformatie, dat is onze missie. Door middel van de nieuwste technologieân is Cegeka een vooruitstrevende organisatie met een groeidoelstelling. Dankzij ons programma ?CEO van je eigen carriäre? neem je zelf het ownership over je carriärepad. 
Schrijf je zeker in voor het info-en netwerkevent ?What?s Next?!? www.cegeka.com/whatsnext2019 of de Meet & Sign sollicitatiedagen www.cegeka.com/meetsign2019";FALSE;TRUE;FALSE;TRUE
Cegelec NV;jobfairs.VEB@cegelec.com;Dana Van Belleghem;Baarbeek 8;2070;Zwijndrecht;03 800 51 90;6;"De technologische evolutie gaat razendsnel. Ben je met het ene proces vertrouwd, dan staan er al drie nieuwe ontwikkelingen in de startblokken. VINCI Energies staat bedrijven bij die nieuwe technologie uitrollen. We hebben daarvoor alle expertise in eigen huis. Onze focus? Die ligt vooral op digitale transformatie en energietransitie. Dankzij onze stevige lokale verankering en wendbare organisatiestructuur spelen we bovendien kort op de bal. Ons streefdoel? De betrouwbaarheid, veiligheid en efficiântie doen toenemen; zowel op het gebied van energie-, transport-, en communicatie-infrastructuur als voor industrie en gebouwen. VINCI Energies is in Belgiâ actief in de industriâle automatisering, energie-, transport- en communicatie-infrastructuren, gebouwtechnieken, brandbeveiliging en facilitaire diensten. En heeft tien merken onder zijn vleugels: Actemium, Axians, Cegelec, Comantec, Ensysta Refrigeration, Hooyberghs, ITB, Omexom, TranzCom en VINCI Facilities.";FALSE;TRUE;TRUE;TRUE
Centrum voor Medische Analyse;pascale.vanhoecke@medina.be;Pascale Van Hoecke;Frankrijklei 67-69;2000;Antwerpen;03 231 36 89 of 014 28 50 00;48;"Centrum voor Medische Analyse is een klinisch laboratorium, actief in de eerstelijns gezondheidszorg. CMA voert analyses uit op het gebied van klinische biologie en anatomopathologie. 
Centrum voor Medische Analyse staat voor: 
?	Kwaliteit 
?	Technologische innovatie 
?	Professionele kennis en ervaring
Hoofdkantoor: Oud-Strijderslaan 199, 2200 Herentals";FALSE;FALSE;TRUE;FALSE
Cheops;anke.vandijck@cheops.be;Anke Van Dijck;Prins Boudewijnlaan ˇ49;2650;Edegem;0472 44 30 32;49;"Cheops is een Belgische specialist in IT & Business
Technology Services. Onze 275 IT-experts denken
strategisch mee en maken onze klanten efficiânter,
productiever, adaptiever en dus competitiever.
Want de rol van technologie zal alleen maar n¢g sneller
groeien. Zo kunnen onze klanten hun business blijven
ontwikkelen, zonder dat nieuwe technologie hen inhaalt
of oude technologie hen tegenhoudt. 

Als je iemand bent die geen uitdaging uit de weg gaat en ervan houdt om uit je comfortzone te treden, dan ben je bij Cheops aan het juiste adres. Bij Cheops kom je terecht in een community van gedreven en betrokken mensen. De ideale plek om je carriäre een boost te geven.";FALSE;TRUE;FALSE;TRUE
ChipSoft Belgiâ N.V.;campusrecruitment@chipsoft.nl;Loes Hofstee;Galileilaanˇ18;2845;Niel;+31204939000;51;"ChipSoft is een van oorsprong Nederlands bedrijf, waar het marktleider is op het gebied van zorginformatiesystemen en elektronische patiântendossiers. Ondertussen is ChipSoft al 10 jaar actief op de Belgische markt. Vanuit de Belgische vestiging in Niel werken ruim 30 professionals met zorg om klanten dagelijks van topproducten en -service te voorzien. Als sterk groeiend bedrijf ontwikkelt ChipSoft al zijn oplossingen zelf op basis van de nieuwste technieken.  
Wij zijn op zoek naar enthousiaste nieuwe collega?s om deze groei te verwezenlijken. Bezoek onze stand om te praten over de mogelijkheden en meer informatie. 
Neem ook eens een kijkje op onze website: www.werkenbijchipsoft.be.";TRUE;TRUE;TRUE;TRUE
clearXperts nv;jasmien.vancasteren@clearXperts.com;Jasmien Van Casteren;Boomsesteenwegˇ77C;2630;Aartselaar;0476 46 16 42;50;"clearXperts brengt al bijna 10 jaar lang mensen en bedrijven samen. De juiste mensen op de juiste plaats. Daar draait het om. Of het nu gaat om tijdelijke versterking of om vaste medewerkers of om heel specifieke competenties en technieken. We vinden voor jou de mensen die jij nodig hebt om je groei te realiseren.
We hebben ervaring in de meest diverse sectoren en in uiteenlopende bedrijfsculturen. We werkten mee aan projecten op allerlei niveaus in verschillende organisaties. Dat maakt van clearXperts een unieke gesprekspartner voor professionals in finance, HR, marketing en sales.";TRUE;FALSE;FALSE;FALSE
Cloudway;michael.willemse@cloudway.be;Michael Willemse;Veldkantˇ33A;2550;Kontich;0478 58 54 16;52;Cloudway is een software ontwikkeling bedrijf dat focust op het bouwen van cloud native oplossingen. Dit betekent dat onze applicaties nauwe integraties bevatten met de services en mogelijkheden die cloud providers zoals Amazon Web Services, Google Cloud en Microsoft Azure. Technologiân waar wij mee werken zijn Serverless, Containers, Cloud Native ontwikkeling, IOT en off the shelf machine learning en AI oplossingen.;FALSE;FALSE;FALSE;TRUE
Codit BVBA;jade.deryck@codit.eu;Jade De Ryck;Gaston Crommenlaanˇ14;9050;Gent;03 844 31 72;55;Codit is an innovative IT company which provides next-level consultancy, technology, and managed services to leading brands worldwide. We successfully help companies reduce operational costs, improve efficiency and enhance communication by integrating people, applications, and things. Codit employs more than 180 people in Belgium, France, Portugal, Switzerland, United Kingdom, The Netherlands, and Malta. Since 2000, we have successfully implemented over 500 integration solutions worldwide.;FALSE;FALSE;FALSE;TRUE
Connect-ICT bvba;pascale@connect-ict.be;Pascale Claes;Noorderlaan ˇ98;2030;Antwerpen;0488 59 08 55;1;Een consultancybedrijf gespecialiseerd in ITprofielen.;FALSE;TRUE;FALSE;TRUE
Connexis Banking & Insurance;info@connexis.be;Bram Vergote;Derbystraatˇ161;9051;Gent;09 398 48 04;56;"Connexis Banking & Insurance is een gereputeerd talent advieskantoor met expertise binnen de financiâle sector. Via ons nationale en internationale netwerk begeleiden we talenten doorheen hun ganse carriäre in de bank- en verzekeringssector. Hierbij beperken we ons niet enkel tot interessante vacatures, maar ook opleidingen en netwerkevenementen die jou de kennis en het netwerk geven om jouw carriäre te lanceren!

Join our community: www.connexis.be/community 
www.connexis.be 
info@connexis.be | +32 (0)9 398 48 08";TRUE;FALSE;FALSE;FALSE
Consello Consulting bvba;werkenbij@consello.be;Ilse Sneyders;Grote Steenwegˇ91;2600;Berchem;0474 46 84 71;57;"Consello is een bruisende start-up, met Berchem als uitvalsbasis. Wij bieden bedrijven tijdelijk extra hulp en dit binnen twee vakgebieden.
Business Intelligence - Beslissingen binnen organisaties worden steeds meer gemaakt aan de hand van feiten en cijfers. Onze BI consultants ondersteunen u in het proces waarbij bedrijfsdata wordt omgezet in bruikbare informatie.
Accountancy ? Is er nood aan tijdelijke professionele ondersteuning op uw boekhouding of finance afdeling. Accounts Receivable, Accounts Payable, General Ledger: allemaal gesneden koek voor onze consultants.
Binnen de ?Consello Academy? leidt een trainer met de nodige praktijkervaring onze consultants op en we coachen hen op het gebied van soft-skills. Hierdoor onderscheiden we ons zowel op gebied van kennis, als in onze communicatie bij u in het bedrijf. Onze consultants weten van aanpakken en kunnen snel een tandje bijsteken. Zin voor initiatief en Passie voor ons vak zitten in ons DNA. 
Bekende namen op onze klantenlijst zijn onder meer ABInBev, Abacus, Brouwland, Cashforce, Credon, Kinepolis, Stratefy, Van Havermaet en Visser & Van Baars.";TRUE;FALSE;FALSE;TRUE
Contec;recruitment@contec.be;Sofie Vissers;Noorderlaanˇ125;2030;Antwerpen;03 542 40 05;58;Contec is een ingenieursbureau van Belgische oorsprong met op dit moment kantoren in Belgiâ, Frankrijk, Polen, Roemeniâ en het Verenigd Koninkrijk. Intern zijn we opgedeeld in 3 departementen, gaande van Electriciteit en Instrumentatie over PLC programmatie tot de hogere programmeertalen zoals .NET. Naast deze departementen loopt het industrial IT team, zij verzorgen het systeem -en netwerkbeheer. Op die manier realiseren we projecten rond de automatisatie van productieprocessen van begin tot einde. Met klanten uit verschillende sectoren en verspreid over de hele wereld, kunnen we bij Contec gevarieerde en uitdagende jobs bieden, binnen een steeds veranderende en internationale context. Maar naast een uitdagende job, staan we ook garant voor een fantastische werksfeer en ijzersterke teams. Ons feestcomitÇ zorgt voor spetterende personeels- en kerstfeesten, leuke after workdrinks of sportieve activiteiten om onze unieke familiale sfeer in de verf te zetten.;FALSE;FALSE;FALSE;FALSE
Contribute nv;saskia.demaeyer@contribute-group.be;Saskia De Maeyer;Prins Boudewijnlaanˇ43;2650;Edegem;0498 10 10 14;64;"Bij Contribute geloven we in een hypergeconnecteerde, digitale wereld waarin platformen, data, applicaties en toestellen naadloos op elkaar aansluiten en zo ons leven verrijken en vergemakkelijken.

Contribute focuste zich in de beginjaren op applicatieontwikkeling met Oracle en Java. Doorheen de tijd is die focus steeds verbreed naar nieuwe domeinen:";FALSE;TRUE;FALSE;TRUE
Cronos groep;ann.vanturnhout@cronos.be;Ann Van Turnhout;Veldkant ˇ33a;2550;Kontich;0478 78 79 96;66;"SINCE 1991
Wij zijn een Belgische groep met een innovatie_ netwerk en een oprechte _ocus op het
ondernemerschap. We leven in uitdagende tijden waar technologische ontwikkelingen elkaar steeds
sneller opvolgen. Onze missie is om jonge ondernemers de kans te geven om te doen wat ze graag doen
en zo onze groep te versterken met creatie_ talent.
HOW
We werken als team samen om de meest vooruitstrevende ideeân vorm te geven. De missie van De
Cronos Groep is om iedereen met talent alle kansen te bieden en hen te laten groeien in hun carriäre
met de mogelijkheid om zel_ ondernemer te worden.
OUR GOAL
Bij De Cronos Groep kom je in contact met de allernieuwste technologieân. De divisiebedrijven zijn
voorlopers in het introduceren en gebruiken van nieuwe en innovatieve technologieân. We testen, sturen
bij en SEARCHING
Wij zoeken talentvolle en gedreven mensen en staan open voor innovatieve ideeân van potentiâle
ondernemers.lanceren prototypes in de markt.
GET STARTED";FALSE;TRUE;FALSE;TRUE
Crosspoint Solutions;christel.fierens@csps.be;Christel Fierens;Veldkantˇ33a;2550;Kontich;03 451 23 91;105;"CrossPoint is an ecosystem of Centers of Expertise specialized in the end-to-end process of creating and harvesting business value from data, at the levels of IT solutions, management and governance.
The joint Service Offerings cover the full lifecycle of software development and information; from data gathering and extraction through data processing up until data exploitation like visualization, insights generation, data-driven marketing and fact-based decision making.
To do so, our Centers of Expertise not only use established as well as leading-edge technologies, but also are already looking at the next generation IT systems where artificial intelligence will play a key role.
As such we are able to support customers of any kind of maturity and with any kind of information-related ambitions.";FALSE;FALSE;FALSE;TRUE
DAVINCI;tgys@davincigroep.be;Tiny Gys;Van de Wervestraat ˇ8;2060;Antwerpen;0472 77 78 17;113;? Wij zijn een Europese, ervaren softwareleverancier en ICT adviesorganisatie met een duidelijke focus op de totale lifecycle van consumentenkredieten, zowel consumptief als hypothecair. Wij onderscheiden ons door onze hoogwaardige software altijd te leveren in combinatie met de business kennis en scherpe blik van onze consultants. Al 25 jaar helpen wij onze klanten met complexe vraagstukken op het gebied van kredietverstrekking, kredietbeheer en bijbehorende business processen. Ruim 200 hoogopgeleide professionals werken vanuit Amsterdam, Antwerpen (Belgiâ), Bratislava en ?ilina (Slowakije) intensief met elkaar samen om onze klanten te voorzien van het beste resultaat.;TRUE;FALSE;FALSE;TRUE
Defensie - Informatiecentrum Antwerpen;johan.coenen@mil.be;Johan Coenen;Belgiâlei ˇ119;2018;Antwerpen;02 443 09 16;104;Defensie werft in 2019 een 85-tal bachelors aan met verschillende achtergronden voor een boeiende loopbaan als onderofficier of officier,;TRUE;TRUE;TRUE;TRUE
Delaware;caro.weytjens@delaware.pro;Caro Weytjens;Kapel Ter Bedeˇ86;8500;Kortrijk;0474 51 94 17;103;At delaware, we are a fast-growing, global consulting company that bridges the gap between IT and business. We guide our customers through their business transformation, applying the ecosystems of our main business partners, Microsoft and SAP. Become part our awesome #peopleofdelaware family!;FALSE;FALSE;FALSE;TRUE
Deloitte Services & Investments;kderaijmaeker@deloitte.com;Katrien de Raijmaeker;Gateway building,Luchthaven Nationaalˇ1J;1930;Zaventem;02 600 61 51 of 0498 36 81 01;67;"At Deloitte, we take pride in offering our people an environment to grow in. When you join Deloitte you enter a world of opportunities. You get more than a job, you build a career. One that makes you proud to belong to the leading professional services. 
You will have the opportunity to work on challenging assignments for different clients and have the possibility to work on international projects. We also provide a wide range of mobility opportunities to our people seeking international assignments and new learning experiences. You will be coached to develop your expertise and you will gradually take up client responsibilities. Deloitte stands for a young, open and entrepreneurial environment and is a great place to start and grow in your career. Our learning and development programmes provide our people with the essential tools necessary to adapt to the ever-changing needs of our profession. In addition to using the skills you acquire on-the-job, you will have the opportunity to participate in seminars and external evening courses. 
At Deloitte you are never on your own, we are behind you all the way!";TRUE;FALSE;FALSE;TRUE
Design is Dead;hanne.dewit@designisdead.com;Hanne De Wit;Middelburgstraat ˇ64 B;1170;Watermaal-Bosvoorde;0475 30 73 90;102;Agile warriors in software development playing with Java and whatever fun technology that crosses our path and helps us create the right digital yourney for our customer.;FALSE;FALSE;FALSE;FALSE
Devoteam;Amina.fobelets@devoteam.com;Amina Fobelets;Belgicastraatˇ17;1930;Zaventem;0473 53 94 60;86;"At Devoteam, we deliver innovative technology consulting for business. We are 6,700 professionals dedicated to ensure our clients win their digital battles. Present in 18 countries in Europe and the Middle East and drawing on 20 years of experience, we improve business performance making  companies truly digital. We build IT infrastructure for digital, and make sure people are along for the ride. We believe in the power of technology and the potential of people. 

Are you motivated and do you have a passion for IT? Start your adventure @ Devoteam now! 

We are looking for: 
- Front-End and Back-End Developers
- Security/Infrastructure/Network Engineers
- Open Source Engineers
- DevOps Engineers
- Data Analysts/Scientists
- Test Automation Engineers
- Big Data Engineers
- Many more...";FALSE;TRUE;FALSE;TRUE
Digipolis;Christel.Bastiaensen@digipolis.be;Christel Bastiaensen;Generaal Armstrongweg ˇ1;2020;Antwerpen;03 338 99 12;106;"Wie zijn we?
Een unieke stad wil ook in de digitale wereld de beste zijn.
Daarom doen Antwerpen en Gent voor hun ICT-diensten een beroep op de mensen van Digipolis. Want bij Digipolis gaan we er elke dag weer voor, met een heel bijzondere missie in het achterhoofd: van de stad een aangename woon- en werkomgeving maken.
De stads- en politiediensten, het OCMW en verschillende scholen rekenen dagelijks op ons voor de meest dynamische ICT-dienstverlening.
We ontwikkelen software, implementeren hardware, netwerken en telefonie-infrastructuur. Daarnaast begeleiden we onze collega?s bij Stad, OCMW, Zorgbedrijf en politie, realiseren ICT-projecten en zorgen voor een kwalitatieve en stabiele ondersteuning van de operationele toepassingen en infrastructuur.
De opdrachthoudende vereniging Digipolis werd in 2003 opgericht en is een verlenging van de Antwerpse en Gentse overheden met bevoegdheid op het vlak van ICT.
Digipolis heeft een vestiging in Antwerpen en Gent.";FALSE;TRUE;FALSE;TRUE
District01;frederik.gekiere@district01.be;Frederik Gekiere;Veldkant ˇ35C;2550;Kontich;0495 44 30 54;69;"District01 is een digitaal productiebedrijf met een specifieke focus op volgende technologieân: .NET web en applicatie development, PHP & Drupal development, Javascript frameworks, projectfacilitatie en automatisatie.

We staan garant voor technische expertise en co-creatie. Ons DNA bestaat uit een zeer brede technische kennis aangevuld met de nodige usability-, project management- en quality assurance vaardigheden.

Deze expertise wordt naar de klant gebracht op zowel project- als consultancy basis.";FALSE;TRUE;FALSE;TRUE
Dixon&Company;julie.philippron@dixon.be;Julie Philippron;Cockerillkaaiˇ26;2000;Antwerpen;03 361 01 05 of 0498 42 63 77;70;"Dixon & Company is een multi-specialist, sterk in permanente rekrutering, interim management en project consulting. We werken met een team van 30 jonge, gedreven en ambitieuze recruitment consultants vanuit onze hippe kantoren in Antwerpen, uitkijkend over de Schelde. 
Als je denkt dat een recruiter enkel een matchmaker is, heb je het mis. Recruiters kunnen vooral goed luisteren en vertalen. En diep graven om te achterhalen wat je Çcht nodig hebt. En assessments houden om doorsnee kandidaten te onderscheiden van echte toppers. Natuurlijk komt er aan het einde van de rit wat matchmaking bij kijken. Maar als je denkt dat we het om de kick van die handtekening doen, ben je mis. Voor ons is de lange termijn vÇÇl belangrijker.
Zin om onze Dixon family te komen vervoegen? Altijd welkom voor een koffietje bij ons!";FALSE;FALSE;FALSE;FALSE
Dosign Engineering;jolien.cobben@dosign.com;Jolien Cobben;Uitbreidingstraat ˇ60-62;2600;Berchem;03 292 91 00;71;"Dosign Engineering is als project- en outsourcingbureau actief in de techniek en werkt dagelijks samen met toonaangevende bedrijven. Wij nemen projecten aan in Engineering en Construction Management. 
Voor pasafgestudeerde young potentials met management- ambities bieden wij het Management Development Traject aan waarbij de combinatie gemaakt wordt van een uitdagende job met doorgedreven managementtrainingen.
Relevante functies kunnen zijn: Jr. Design Engineer, Jr Project Engineer, Jr. Werkvoorbereider, Jr. Site Supervisor,? en dit binnen disciplines zoals Mechanical, Machinebouw, Elektriciteit en Instrumentatie, HVAC, Automatisatie,?";FALSE;FALSE;TRUE;FALSE
dotNET academy;jobcoach@it4itservices.com;Daan Geudens;Gravin De Merodestraat ˇ132;2260;Westerlo;016 35 93 72;107;"Een blitse carriärestart dankzij de dotNET academy!
U bent afgestudeerd als IT-Graduate en wil zo snel mogelijk een goede job die je op het lijf geschreven is? De dotNET academy timmert het pad van de schoolpoort naar uw professioneel leven en zorgt dat u als een ervaren professional aan de start verschijnt.
Al een loon tijdens je vervolmakingsopleiding
De opleiding bij de dotNET academy is gratis. Sterker nog: u wordt al betaald terwijl u de opleiding volgt.
De dotNET academy zoekt uw perfect match
Welke werkgevers investeren in mijn persoonlijke groei? Waar kan ik best solliciteren? Wat is belangrijk bij de keuze van mijn eerste job?
Met uw jobwensen en ?noden zoekt de dotNET academy uw perfecte match";FALSE;FALSE;FALSE;TRUE
Elmos;joris.vanstaay@gmail.com;Joris Van Staay;Generaal De Wittelaan ˇ9/1a;2800;Mechelen;0475 87 07 35;72;ICT Consultancy en Try and hire diensten;FALSE;TRUE;FALSE;TRUE
Emerson Automation Solutions;philippe@monitor.be;Philippe Scraeyen;De Kleetlaanˇ7b;1831;Diegem;0473 66 27 99;73;"Emerson Automation Solutions te Diegem is wereldleider op vlak van automatisatie en instrumentatie, met een stevige poot binnen de procesindustrie. Met merken zoals onder andere DeltaV, Fisher en Rosemount, profileren wij ons als de absolute top binnen de farmaceutische, chemische en energiesector.
Met meer dan 600 locaties wereldwijd zijn wij de meest globale leverancier van producten, diensten en totaaloplossingen die continu- en batchprocessen meten, analyseren, controleren, automatiseren en optimaliseren bij diverse klanten in meer dan 85 landen.";TRUE;TRUE;TRUE;TRUE
Eneco Belgium NV;eline.vanharck@eneco.com;Eline Van Harck;Battelsesteenwegˇ455i;2800;Mechelen;0474 84 64 11;74;Eneco Belgium levert elektriciteit uit 100% hernieuwbare bronnen. Wat ons drijft? Een grote maatschappelijke betrokkenheid en verantwoordelijkheid. We willen een inspiratiebron zijn voor anderen door te laten zien dat een snelle transitie van fossiele naar duurzame energie technisch mogelijk en rendabel is. Eneco is succesvol omdat we innoveren en investeren. In technologie, maar zeker ook in mensen. Bij Eneco zien we wie je bent, wat je wil en wat je kan.;FALSE;FALSE;FALSE;FALSE
ENGIE;tiziano.pisanu@engie.com of staffing@engie.com;Tiziano Pisanu;Boulevard Simon Bolivarlaanˇ34-36;1000;Brussel;0484 31 61 06;101;"ENGIE is de marktleider in de energietransitie. De energiereus bestaat uit vier entiteiten.

ENGIE Cofely geldt als de referentie voor geãntegreerd facilitair beheer en biedt technische oplossingen voor de openbare en private gebouwen sector, de industrie, luchthavens en datacenters.
ENGIE Electrabel produceert en verkoopt elektriciteit aan particulieren, professionele verbruikers, KMO?s, grote ondernemingen en openbare instellingen.
ENGIE Axima ontwerpt en onderhoudt klimaatregelings-en brandbeveiligingsinstallaties.
ENGIE Fabricom ontwerpt, realiseert en onderhoudt multitechnische installaties.";FALSE;FALSE;TRUE;TRUE
ESAS Professional Services;patrick.de.bruyne@esas.eu;Patrick De Bruyne;Terbekehofdreef ˇ24;2610;Wilrijk;0497 44 81 88;100;"De ESAS groep stelt bijna 1.500 mensen tewerk in de Benelux en zet in op de installatie van Internet of Things-systemen, industriâle automatisering, relighting, onderhoud en service. Met de volgende afdelingen : ESAS Automation, ESAS Professional Services, ESAS Field Services, ESAS Remote Services.
We focussen op de link tussen de IT-omgeving en industriâle installaties. Steeds meer toestellen en installaties zijn namelijk met elkaar verbonden en zorgen voor een constante stroom aan gegevens. Deze overbrengen in intelligente rapportering verschaft waardevolle informatie over de bedrijfsvoering. 
Altijd op zoek naar nieuw talent
?We hire for attitude and train for competences? is ons motto! ?Bij ESAS is de menselijke factor even belangrijk als onze technische expertise. Bij ESAS zijn we altijd op zoek naar talenten voor uiteenlopende jobs. Ben jij ook op zoek naar een nieuwe uitdaging? Kan je heel goed om met technologie en mensen? Dan is ESAS zeker iets voor jou!";FALSE;TRUE;TRUE;TRUE
Euricom;kris.schepers@euri.com;Kris Schepers;Schaliânhoevedreefˇ20 J;2800;Mechelen;015 26 24 40;98;"Euricom, opgericht in 1999, is een software consultancy bedrijf met tonnen ervaring in software development. Wij ontwikkelen software op maat met .NET en Javascript technologiee?n voor e?n samen met de klant. Onze diensten bestaan uit het aanbrengen van top developers om een team te ondersteunen, tot het volledig uitwerken en begeleiden van een project.

Euricom streeft naar kwaliteit. Niet alleen in code, maar ook in het development proces en het effectief opleveren van projecten.";FALSE;TRUE;FALSE;TRUE
EuroChem Antwerpen;liesbeth.van-gulck@eurochem.be;Liesbeth Van Gulck;Scheldelaanˇ600;2040;Antwerpen;03 210 55 22;99;"EuroChem Antwerpen is met haar circa 400 werknemers en aanzienlijke productievolumes ÇÇn van de belangrijkste productiesites van meststoffen binnen de internationale EuroChem groep. Origineel gestart in 1964 onder de vleugels van BASF is het nu een hecht team van professionele collega's die sinds 1.4.2012 onder de naam EuroChem in een echte ""can do"" spirit samenwerken.Kenmerkend voor de strategie van het bedrijf is haar focus op de lange termijn, zowel op het vlak van persoonlijke ontwikkeling via een doorgedreven vorming als de bijdrage van het bedrijf in zijn totaliteit tot een meer duurzame samenleving. De doorgedreven verticale integratie op wereldniveau maakt ook dat EuroChem streeft naar toegevoegde waarde over de gehele productieketen, startende bij het ontginnen van grondstoffen over logistiek en productie tot distributie";FALSE;FALSE;TRUE;FALSE
Exellys;ellen.vandevyvere@exellys.com;Ellen Vandevyvere;Motstraat ˇ32;2800;Mechelen;078 48 28 88;96;"Exellys is een tech talent integrator. We matchen jong tech talent met ambitieuze bedrijven. We intergreren tech talent (IT?ers, wetenschappers en ingenieurs) in de dagelijkse operationele werking van onze klanten en we stomen ze klaar voor de innovaties van morgen. Ons hoofddoel is om het talent en potentieel van onze consultants om te zetten in expertise.

Exellys is a tech talent integrator. We match the finest tech talent with ambitious companies. We integrate IT, science and engineering talent into our customers' operations of today and we prepare them for the innovations of tomorrow. Our main goal is to turn the talent and potential of our consultants into excellence.";FALSE;TRUE;FALSE;TRUE
ExxonMobil;annemie.halsberghe@exxonmobil.com;Annemie Halsberghe;Polderdijkweg ˇ3 Haven 447;2030;Antwerpen;03 790 43 42;63;"De vestigingen van de Antwerpse Manufacturing Sites van ExxonMobil in Belgiâ (Antwerpen, Zwijndrecht en Meerhout) maken deel uit van ExxonMobil Corporation, de grootste petrochemische onderneming in de wereld.  Het concern is actief in bijna 200 landen en legt zich toe op de winning van olie en gas, raffinage, distributie en verkoop van olieproducten.  
""ExxonMobil is het grootste petroleumbedrijf ter wereld. Deze positie hebben wij verworven door de uitzonderlijke talenten van onze medewerkers te combineren met onze eersteklas resultaten die we behalen overal waar we actief zijn. We geloven in onze mensen en zijn voortdurend op zoek naar nieuw talent. Daarom bieden we onze medewerkers alle mogelijkheden om hun vaardigheden te ontwikkelen. Iedereen die bij ExxonMobil aan de slag gaat, kan niet enkel op een job rekenen, maar op een echte loopbaan. Opleiding, jobrotatie en flexibiliteit zijn de sleutelelementen van een succesvolle loopbaan in ons bedrijf.""";FALSE;FALSE;TRUE;FALSE
EY;recruitment@be.ey.com;Liselot De Gheest;De Kleetlaanˇ2;1831;Diegem;02 774 91 11;97;"As a global leader in assurance, tax, transaction and advisory services, we hire and develop the most passionate people in their field to help build a better working world. This starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. This is what makes us different, and renders working here a unique, lifetime experience

At EY, the spotlight is on our people. You are empowered to build your expertise and explore the world so that you can innovate and challenge the status quo. 
Because Building a better working world begins here.
This is what makes us different, and renders working here a unique, lifetime experience.
We are one international, connected team, with one purpose. We are EY.
Your dream career begins here.";TRUE;TRUE;FALSE;TRUE
